model,horizon,region,n,mae,rmse,mape,underestimation_rate,expected_shortage,peak_error,peak_timing_error,wis_80,pinball_q10,pinball_q90
arima_per_region,28,North East and Yorkshire,32,15.494706954190795,19.065251684530796,0.5535977927371967,0.40625,168.3313238605105,21.428415328705583,3.0,,,
arima_per_region,28,North West,32,18.428279724390375,24.214047029921126,0.8761343589293695,0.5,199.4633256865406,50.746479039851806,1.0,,,
arima_per_region,28,South East,32,21.842662006482605,28.2170303402664,0.9719348861692112,0.5,290.4572877982671,77.7142578734895,25.0,,,
arima_per_region,28,South West,32,13.341769697167617,17.837523281062317,1.30404256652124,0.53125,152.32179903674503,34.63520109139846,8.0,,,
gru_per_region,7,East of England,32,7.089489607049305,10.078444842483805,0.20638473446897776,0.5625,127.74087030665629,19.588874359582817,0.0,,,
gru_per_region,7,London,32,20.339733507379076,25.629523000659194,0.19912950055817574,0.59375,394.7885714145609,53.52268412968863,1.0,,,
gru_per_region,7,Midlands,32,12.071222161726286,15.312948317464684,0.39483185333675086,0.15625,48.009474378017515,14.447769642029442,1.0,,,
gru_per_region,7,North East and Yorkshire,32,9.32710688094311,10.800672207496474,0.3260101115723677,0.21875,36.48347893131451,13.755884686594129,2.0,,,
gru_per_region,7,North West,32,13.687114320856118,15.830710234615315,0.6406604850178852,0.1875,63.8482961336028,9.692602175529842,1.0,,,
gru_per_region,7,South East,32,8.540474627656746,12.985482905520843,0.27009426539115516,0.65625,135.9789425312544,42.69953631092227,0.0,,,
gru_per_region,7,South West,32,6.117606896080874,8.273463364178172,0.4972768121505652,0.28125,39.11704363583444,3.9679188958832015,1.0,,,
gru_per_region,14,East of England,32,12.563663705027833,18.426995701854096,0.4055770430270583,0.3125,85.21952818964441,55.39187479986536,0.0,,,
gru_per_region,14,London,32,27.736560153609663,39.35253844175254,0.24479971214758225,0.46875,240.16080678753892,116.91049717290616,1.0,,,
gru_per_region,14,Midlands,32,20.740305461515,24.646655136550287,0.6924760895361852,0.03125,2.5047625937484383,55.118665355210226,0.0,,,
gru_per_region,14,North East and Yorkshire,32,17.34748286803768,20.324420778473414,0.6006334373891989,0.1875,42.47297128576585,28.197443309492996,1.0,,,
gru_per_region,14,North West,32,19.306911358468568,21.865728096091555,0.8950090369599292,0.125,54.611021360916226,1.2136068270328622,1.0,,,
gru_per_region,14,South East,32,14.423407277509085,21.187940825959554,0.5012382430929552,0.34375,84.40426163314585,66.58727451525274,0.0,,,
gru_per_region,14,South West,32,10.364325235801214,14.65807294545603,0.8607013106440102,0.125,32.33411774329245,29.750063790531797,1.0,,,
gru_per_region,21,East of England,32,17.184913553878147,23.01417779476664,0.6687754067755871,0.125,34.93279756438655,68.2815429421226,0.0,,,
gru_per_region,21,London,32,39.87332716759967,57.06712104040126,0.3896834684912186,0.28125,76.32398932510452,142.46555591921344,1.0,,,
gru_per_region,21,Midlands,32,35.38695470926819,39.86911499613654,1.2856261084605718,0.0,0.0,64.41284695599754,1.0,,,
gru_per_region,21,North East and Yorkshire,32,27.35227207737718,32.132648468415006,1.0550926081299419,0.09375,6.650699655684576,38.12817604846812,2.0,,,
gru_per_region,21,North West,32,26.77159130416228,30.612150576000726,1.370484039111332,0.0625,5.2217201870531085,42.36408748665785,1.0,,,
gru_per_region,21,South East,32,21.695205717562597,31.451910178613737,0.8831245485019936,0.28125,89.25634472586785,96.6529808767549,0.0,,,
gru_per_region,21,South West,32,14.399151142107561,19.285687705475386,1.3478609257355338,0.125,18.955155965627814,37.42861326489154,9.0,,,
gru_per_region,28,East of England,32,22.55436014998802,28.9188577002205,1.0009718785182504,0.125,13.621544144788984,81.73968256788419,1.0,,,
gru_per_region,28,London,32,56.773575909829006,71.95859993806074,0.6364415856497054,0.0625,5.936545735906918,165.39441624271205,1.0,,,
gru_per_region,28,Midlands,32,54.806309942101166,58.3858910496875,2.162544917169356,0.0,0.0,85.36211780514395,1.0,,,
gru_per_region,28,North East and Yorkshire,32,38.93136140972458,43.60644104631053,1.6016608186439623,0.0,0.0,61.920944680820384,2.0,,,
gru_per_region,28,North West,32,40.65247431564335,44.17054676734035,2.1869927292747593,0.0,0.0,55.456563668741694,1.0,,,
gru_per_region,28,South East,32,27.197610604230544,38.88222717622909,1.3217090915296361,0.25,73.37468176893665,118.29356787961166,25.0,,,
gru_per_region,28,South West,32,17.162190863563275,21.898302659261844,1.8623145976079034,0.09375,4.920652237312932,37.51173490801422,8.0,,,
pinn_gru,7,East of England,32,5.6337531920789266,6.971997990648109,0.22755388812045924,0.4375,69.49037105059097,2.1703960510522364,0.0,3.675082825517811,1.0409343242188809,1.654813318018372
pinn_gru,7,London,32,13.257553144981586,15.813339378663308,0.14350378571054268,0.28125,74.17432225181352,3.4721452025092674,1.0,8.153545889764438,2.6977340202371627,2.9038082419187017
pinn_gru,7,Midlands,32,10.354688235371787,14.829589201300328,0.2939724576664629,0.25,67.8495684737607,24.098621478718684,1.0,6.917382315417754,2.0174600371600873,3.1812693182806484
pinn_gru,7,North East and Yorkshire,32,5.296006401000231,6.3537463020547085,0.19823279710679742,0.46875,94.43649962286317,0.6289776616380038,2.0,5.372095599873026,1.3891736484670822,4.02096655084234
pinn_gru,7,North West,32,7.792535662159484,9.593341057407223,0.3607989307180886,0.34375,79.1182964436594,16.30366575360175,1.0,6.046529679824052,1.7782581373062456,3.395268551350089
pinn_gru,7,South East,32,5.6774941377168675,7.438989562414095,0.22269273516677623,0.34375,56.20401146288963,15.78161127919276,0.0,3.9508323538802537,1.285215784663885,1.8022856772980618
pinn_gru,7,South West,32,15.282049162790639,16.165030699287566,1.5021528795049168,0.0625,12.185339025740763,11.598239707222021,0.0,8.915752950074289,2.071166355452065,3.66143848826405
pinn_gru,14,East of England,32,10.795494552879202,12.089411523007529,0.4377739931030269,0.25,47.03064806749262,21.559424309212986,0.0,6.298762271255228,1.4755510916874668,2.574845038755774
pinn_gru,14,London,32,12.860426917240096,16.246878288928592,0.14285949222847621,0.375,138.31503857645535,18.588744256259503,1.0,8.92399851646561,2.6044720408035493,4.351312275274818
pinn_gru,14,Midlands,32,15.605122763473911,19.665022684501228,0.49024263385750094,0.21875,31.188569944473144,55.43621184221536,0.0,9.104323014177325,1.6008565114372122,4.253066628091816
pinn_gru,14,North East and Yorkshire,32,11.750745782217736,13.900716680134138,0.46594522304719654,0.1875,31.32954725688157,10.908041046726225,1.0,8.868933570087972,1.1646712650828777,6.26335619894021
pinn_gru,14,North West,32,10.045479407878862,12.232506253336817,0.514731209685998,0.1875,52.9588611017783,18.711939807712923,1.0,9.07772234611403,2.5716330407832872,6.022210774448325
pinn_gru,14,South East,32,10.065743115362372,12.775184694571246,0.41320721639693303,0.3125,63.0638821680808,30.577948386620406,0.0,6.863627612959786,2.0945310220232507,3.1680388397352433
pinn_gru,14,South West,32,13.222304501272117,14.284798413171623,1.3874909535517563,0.0625,10.999186189878554,5.978855827893199,0.0,8.268805521626827,1.364323038669384,4.4277329931347955
pinn_gru,21,East of England,32,12.235298083285521,16.961053501706267,0.4867117826019368,0.28125,54.413810394839786,46.54149515855403,1.0,8.31325443832413,2.949726520445635,3.402506095397797
pinn_gru,21,London,32,18.60189478678012,23.530587544428876,0.21512447551319633,0.3125,102.38730687928378,33.710128355171804,1.0,12.018725818011108,2.827764226201504,5.899377107425094
pinn_gru,21,Midlands,32,24.978766540598926,30.151439852232553,0.9142985630093579,0.03125,4.675375053301423,57.511057122370545,1.0,14.243198221656561,1.7951881168895798,7.080225945295797
pinn_gru,21,North East and Yorkshire,32,21.30852607501906,24.741791384880703,0.8328193907645445,0.0625,12.31560986914775,20.99491299819222,1.0,14.034325448128223,1.8840056701311736,8.513219464551632
pinn_gru,21,North West,32,26.30218797800051,28.261266019203887,1.3631925905172022,0.0,0.0,25.90297797308328,1.0,17.45885900013311,4.010490013588188,9.02670449761122
pinn_gru,21,South East,32,15.24360827956801,21.407774462149245,0.6234333933384035,0.3125,104.74113862038243,64.80751575680557,0.0,10.74412332390115,4.192550668673838,4.301830177393882
pinn_gru,21,South West,32,22.915921482710615,24.246321959187103,2.3912131893734143,0.0,0.0,19.573510174083715,10.0,11.449418952449982,1.3482597427985732,4.367907944521092
pinn_gru,28,East of England,32,18.258202659522883,26.50300699522309,0.7766645354053601,0.1875,22.465938046772933,91.77543664914549,0.0,12.336339446188866,5.204392581177299,4.171015258344557
pinn_gru,28,London,32,32.54099865151139,41.034578862803926,0.378019230412464,0.15625,31.371963069447048,92.25297778281663,1.0,18.907921376758225,3.5877099017470044,8.503672837634639
pinn_gru,28,Midlands,32,36.287211375838716,42.69326205256007,1.4160207330711068,0.03125,5.683648575809855,83.74279575194583,1.0,24.62239466299002,7.789686526515315,11.000299780050357
pinn_gru,28,North East and Yorkshire,32,26.836519504593007,29.99823205561024,1.1543608013582192,0.0,0.0,32.769314141102456,1.0,17.40355144509428,1.516263126296589,11.170804289048322
pinn_gru,28,North West,32,45.77134827694958,47.240721280975244,2.3896264277122587,0.0,0.0,46.353242974130495,1.0,25.89060754273802,2.8553095232897063,13.09492765234253
pinn_gru,28,South East,32,24.769362925636663,36.48680736429321,1.1270478530359782,0.25,102.85022832364872,117.63012068961271,25.0,17.194072226260268,7.6665789256627805,5.739847950909283
pinn_gru,28,South West,32,16.627739311900935,18.485814646477007,1.8731316614765023,0.09375,2.4777966669391667,13.838727268542506,9.0,12.300749000302833,5.272734034983105,4.864519809520675
seasonal_naive,7,East of England,32,8.40625,10.387793317158366,0.27972213093625314,0.375,94.0,2.0,1.0,,,
seasonal_naive,7,London,32,18.40625,23.500664884211254,0.17540003395272213,0.375,181.0,9.0,2.0,,,
seasonal_naive,7,Midlands,32,11.28125,14.288325654183557,0.32773142729881066,0.375,115.0,2.0,0.0,,,
seasonal_naive,7,North East and Yorkshire,32,9.40625,11.495923190418418,0.2942710378426092,0.3125,97.0,16.0,0.0,,,
seasonal_naive,7,North West,32,9.4375,11.805718953117594,0.32418742400811273,0.40625,110.0,2.0,2.0,,,
seasonal_naive,7,South East,32,9.6875,12.389511693363866,0.3625699379632762,0.28125,84.0,20.0,1.0,,,
seasonal_naive,7,South West,32,7.28125,10.812319362652955,0.5029564881412811,0.46875,87.0,3.0,1.0,,,
